id;diversity;comm;leaf_biom;molds;shelf_x;shelf_y
D8.2-2;8;ABDEFHKL;37,6;FALSE;19;14
D8.2-3;8;ABDEFHKL;50,0;FALSE;21;13
D8.3-1;8;ABCFGIJL;29,3;FALSE;6;5
D8.3-2;8;ABCFGIJL;15,9;FALSE;6;4
D8.3-3;8;ABCFGIJL;46,6;FALSE;21;12
D8.4-1;8;ACDEGHIJ;16,5;FALSE;18;8
D8.4-2;8;ACDEGHIJ;16,4;FALSE;21;11
D8.4-3;8;ACDEGHIJ;16,6;FALSE;10;2
D8.5-1;8;BCDEHIJK;15,3;FALSE;20;12
D8.5-2;8;BCDEHIJK;12,6;FALSE;11;4
D8.5-3;8;BCDEHIJK;20,3;FALSE;8;7
D8.6-1;8;BCEFGJKL;12,2;FALSE;19;10
D8.6-2;8;BCEFGJKL;30,0;FALSE;6;1
D8.6-3;8;BCEFGJKL;51,7;FALSE;5;5
D10.1-1;10;ADEFGHIJKL;47,1;FALSE;19;8
D10.1-2;10;ADEFGHIJKL;19,8;FALSE;6;7
D10.1-3;10;ADEFGHIJKL;18,9;FALSE;4;6
D10.2-1;10;ABCDEFIJKL;46,9;FALSE;15;11
D10.2-2;10;ABCDEFIJKL;27,9;FALSE;7;3
D10.2-3;10;ABCDEFIJKL;28,1;FALSE;1;3
D10.3-1;10;BCDEGHIJKL;36,0;FALSE;17;10
D10.3-2;10;BCDEGHIJKL;32,9;TRUE;20;9
D10.3-3;10;BCDEGHIJKL;29,0;TRUE;3;1
D10.4-1;10;ABCFGHIJKL;48,8;FALSE;16;11
D10.4-2;10;ABCFGHIJKL;;FALSE;14;11
D10.4-3;10;ABCFGHIJKL;20,6;TRUE;4;4
D10.5-1;10;ABCDEFGHIK;29,5;FALSE;14;14
D10.5-2;10;ABCDEFGHIK;53,9;FALSE;16;14
D10.5-3;10;ABCDEFGHIK;19,5;FALSE;22;9
D10.6-1;10;ABCDEFGHJL;58,2;FALSE;15;13
D10.6-2;10;ABCDEFGHJL;55,6;FALSE;15;10
D10.6-3;10;ABCDEFGHJL;23,3;FALSE;20;13
CTRL-1;0;Z;30,2;FALSE;9;4
CTRL-2;0;Z;34,3;FALSE;1;6
CTRL-3;0;Z;24,8;FALSE;2;3
CTRL-4;0;Z;30,2;FALSE;10;3
CTRL-5;0;Z;20,1;FALSE;18;13
CTRL-6;0;Z;28,3;FALSE;14;9
