"ID";"Intercept";"J-067";"E-045";"J-092";"D2";"J-067:E-045";"J-067:J-092";"J-067:D2";"E-045:J-092";"E-045:D2";"J-092:D2";"J-067:E-045:J-092";"J-067:E-045:D2";"J-067:J-092:D2";"E-045:J-092:D2";"J-067:E-045:J-092:D2";"adj.R2";"df";"LL";"AICc";"ΔAICc";"weight"
"525";30,5571694051641;NA;NA;"+";"+";NA;NA;NA;NA;NA;"+";NA;NA;NA;NA;NA;0,218563212024955;7;-513,217365143422;1041,30294734111;8,89798264927663;0.00128431939807302
"2432";33,4602691922087;"+";"+";"+";"+";"+";"+";"+";NA;"+";NA;NA;"+";NA;NA;NA;0,320212887045812;15;-503,677285518907;1041,32151318657;8,91654849474412;0.00127245232610928
"655";30,9317374542623;NA;"+";"+";"+";NA;NA;NA;"+";NA;"+";NA;NA;NA;NA;NA;0,243538386163588;9;-510,993576482489;1041,40447579962;8,9995111077933;0.00122074911313689
"16";31,0667692034895;"+";"+";"+";"+";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,217562371315243;7;-513,304992906306;1041,47820286688;9,07323817504562;0.00117656733850166
"160";30,2039511132295;"+";"+";"+";"+";"+";NA;NA;"+";NA;NA;NA;NA;NA;NA;NA;0,242393123499465;9;-511,097145602035;1041,61161403872;9,20664934688511;0.00110064412644746
"272";31,3926160436827;"+";"+";"+";"+";NA;NA;NA;NA;"+";NA;NA;NA;NA;NA;NA;0,242349993017976;9;-511,10104294708;1041,6194087288;9,2144440369741;0.0010963628846728
"704";31,4107720090008;"+";"+";"+";"+";"+";"+";NA;"+";NA;"+";NA;NA;NA;NA;NA;0,280358533903952;12;-507,577535865193;1041,67120076264;9,26623607081342;0.00106833591256492
"432";31,9270595343823;"+";"+";"+";"+";NA;"+";NA;"+";"+";NA;NA;NA;NA;NA;NA;0,266263223153888;11;-508,905449366924;1041,92289873385;9,51793404201749;0.000942003047151379
"192";30,5964417418858;"+";"+";"+";"+";"+";"+";NA;"+";NA;NA;NA;NA;NA;NA;NA;0,253257245969347;10;-510,108313820751;1041,96265938753;9,5576946957035;0.000923460643906833
"9200";35,0944758093087;"+";"+";"+";"+";NA;"+";"+";"+";"+";"+";NA;NA;NA;"+";NA;0,342157504728029;17;-501,430980518775;1042,00481818041;9,5998534885764;0.000904198382567662
"208";30,1854485239026;"+";"+";"+";"+";NA;NA;"+";"+";NA;NA;NA;NA;NA;NA;NA;0,252061699649725;10;-510,217831781513;1042,18169530906;9,77673061722749;0.000827666438970626
"11232";36,062193683134;"+";"+";"+";"+";"+";NA;"+";"+";"+";"+";NA;"+";NA;"+";NA;0,366389754541736;19;-498,861805589171;1042,21933767407;9,81437298223727;0.000812234457484992
"400";31,103111085616;"+";"+";"+";"+";NA;NA;NA;"+";"+";NA;NA;NA;NA;NA;NA;0,251412955533236;10;-510,27718674934;1042,30040524471;9,8954405528807;0.000779969841277627
"2912";34,5289137623521;"+";"+";"+";"+";"+";NA;"+";NA;"+";"+";NA;"+";NA;NA;NA;0,327952608740794;16;-502,893409839501;1042,32015301233;9,91518832050406;0.000772306405884784
